"Virus","HostOrder","vFamily","vSegmentedTF","vCytoReplicTF","vGenomeAveLength","vEnvelope","vSSoDS","IsZoonotic"
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"baboon_orthoreovirus","primates","Reoviridae",1,1,22435,0,0,0
"banna_virus","artiodactyla","Reoviridae",1,1,12375,0,0,1
"banna_virus","artiodactyla","Reoviridae",1,1,12375,0,0,1
"banna_virus","primates","Reoviridae",1,1,12375,0,0,1
"banna_virus","primates","Reoviridae",1,1,12375,0,0,1
"banna_virus","primates","Reoviridae",1,1,12375,0,0,1
"banna_virus","artiodactyla","Reoviridae",1,1,12375,0,0,1
"banna_virus","artiodactyla","Reoviridae",1,1,12375,0,0,1
"banna_virus","primates","Reoviridae",1,1,12375,0,0,1
"banna_virus","artiodactyla","Reoviridae",1,1,12375,0,0,1
"banzi_virus","rodentia","Flaviviridae",0,1,10182,1,1,1
"banzi_virus","rodentia","Flaviviridae",0,1,10182,1,1,1
"banzi_virus","rodentia","Flaviviridae",0,1,10182,1,1,1
"banzi_virus","primates","Flaviviridae",0,1,10182,1,1,1
"banzi_virus","primates","Flaviviridae",0,1,10182,1,1,1
"banzi_virus","artiodactyla","Flaviviridae",0,1,10182,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","diprotodontia","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","diprotodontia","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","perissodactyla","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","carnivora","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","artiodactyla","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","carnivora","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","diprotodontia","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","carnivora","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","perissodactyla","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"barmah_forest_virus","primates","Togaviridae",0,1,11488,1,1,1
"bebaru_virus","primates","Togaviridae",0,1,11700,1,1,0
"bebaru_virus","primates","Togaviridae",0,1,11700,1,1,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"bluetongue_virus","carnivora","Reoviridae",1,1,19200,0,0,0
